,amazon
2004-01-04,37
2004-01-11,54
2004-01-18,58
2004-01-25,77
2004-02-01,36
2004-02-08,72
2004-02-15,0
2004-02-22,48
2004-02-29,28
2004-03-07,41
2004-03-14,64
2004-03-21,30
2004-03-28,0
2004-04-04,61
2004-04-11,27
2004-04-18,28
2004-04-25,57
2004-05-02,87
2004-05-09,58
2004-05-16,41
2004-05-23,27
2004-05-30,14
2004-06-06,40
2004-06-13,28
2004-06-20,33
2004-06-27,93
2004-07-04,30
2004-07-11,55
2004-07-18,30
2004-07-25,31
2004-08-01,30
2004-08-08,60
2004-08-15,15
2004-08-22,48
2004-08-29,0
2004-09-05,0
2004-09-12,44
2004-09-19,73
2004-09-26,45
2004-10-03,100
2004-10-10,66
2004-10-17,14
2004-10-24,61
2004-10-31,54
2004-11-07,19
2004-11-14,15
2004-11-21,40
2004-11-28,38
2004-12-05,26
2004-12-12,39
2004-12-19,26
2004-12-26,29
2005-01-02,34
2005-01-09,47
2005-01-16,63
2005-01-23,13
2005-01-30,13
2005-02-06,86
2005-02-13,0
2005-02-20,63
2005-02-27,13
2005-03-06,44
2005-03-13,67
2005-03-20,43
2005-03-27,29
2005-04-03,80
2005-04-10,64
2005-04-17,54
2005-04-24,21
2005-05-01,11
2005-05-08,41
2005-05-15,32
2005-05-22,72
2005-05-29,84
2005-06-05,43
2005-06-12,42
2005-06-19,0
2005-06-26,35
2005-07-03,46
2005-07-10,23
2005-07-17,11
2005-07-24,23
2005-07-31,66
2005-08-07,100
2005-08-14,79
2005-08-21,53
2005-08-28,23
2005-09-04,60
2005-09-11,57
2005-09-18,43
2005-09-25,21
2005-10-02,31
2005-10-09,56
2005-10-16,53
2005-10-23,42
2005-10-30,95
2005-11-06,0
2005-11-13,11
2005-11-20,11
2005-11-27,41
2005-12-04,54
2005-12-11,32
2005-12-18,32
2005-12-25,81
